Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
118,0,-0.017007,-0.010776,0.131441,24.215439,3.435248,214.478210
119,0,-0.017032,-0.010723,0.131718,24.204706,3.421443,214.473038
120,0,-0.017020,-0.010808,0.131535,24.200775,3.417767,214.484116
121,0,-0.016970,-0.011060,0.131241,24.198996,3.412226,214.483047
122,0,-0.016990,-0.011215,0.131268,24.181484,3.407378,214.471146
123,0,-0.016913,-0.011107,0.131466,24.177608,3.402463,214.478790
124,0,-0.016918,-0.011260,0.131144,24.186274,3.403040,214.486099
125,0,-0.016963,-0.010832,0.132024,24.168411,3.415436,214.477615
126,0,-0.016824,-0.011482,0.130404,24.194786,3.403522,214.487961
127,0,-0.016948,-0.011305,0.130787,24.195881,3.412385,214.494080
128,0,-0.017192,-0.010973,0.132582,24.210871,3.412358,214.503235
129,0,-0.016928,-0.010909,0.131982,24.188505,3.430842,214.492645
130,0,-0.016934,-0.010864,0.130566,24.254765,3.446656,214.511551
131,0,-0.017048,-0.010907,0.131030,24.213539,3.441371,214.509766
132,0,-0.016955,-0.010422,0.132328,24.183506,3.457032,214.496277
133,0,-0.016805,-0.010619,0.132123,24.202318,3.457483,214.509689
134,0,-0.016817,-0.010845,0.131185,24.228888,3.461766,214.512726
135,0,-0.016692,-0.010718,0.131540,24.221025,3.477900,214.522415
136,0,-0.016646,-0.010534,0.132315,24.214256,3.484776,214.519974
137,0,-0.017043,-0.010362,0.132083,24.208296,3.443865,214.509552
138,0,-0.017018,-0.010842,0.131028,24.228394,3.442722,214.517853
139,0,-0.017057,-0.010759,0.131388,24.203907,3.446797,214.516663
140,0,-0.017022,-0.010326,0.132212,24.197231,3.441315,214.507111
141,0,-0.017019,-0.010472,0.131917,24.209778,3.431458,214.507584
142,0,-0.017027,-0.010773,0.131280,24.227264,3.449778,214.514664
143,0,-0.017061,-0.010486,0.131610,24.227163,3.436691,214.498947
144,0,-0.016929,-0.010350,0.132124,24.202206,3.447517,214.520020
145,0,-0.016990,-0.010570,0.131788,24.217072,3.445646,214.505447
146,0,-0.016890,-0.010668,0.131481,24.213242,3.452816,214.528381
147,0,-0.016356,-0.010693,0.130717,24.261160,3.507207,214.682755
148,0,-0.016313,-0.010623,0.132242,24.223000,3.571250,214.944016
149,0,-0.016113,-0.010347,0.132357,24.211128,3.762489,215.585190
150,0,-0.015910,-0.010076,0.131692,24.235867,3.930062,216.433411
151,0,-0.015208,-0.009939,0.130754,24.311802,4.160006,217.828735
152,0,-0.011922,-0.011091,0.129304,24.471958,4.401400,220.142334
153,0,-0.008377,-0.011596,0.127869,24.494921,4.591892,223.444977
154,0,-0.004623,-0.011697,0.128413,24.560450,4.795644,228.005890
155,0,-0.001508,-0.011913,0.126102,24.622139,4.931979,233.927200
156,0,-0.000896,-0.011022,0.125802,24.675585,5.153862,241.259689
157,0,-0.001475,-0.009654,0.123844,24.666828,5.327698,250.072922
158,0,-0.001773,-0.008085,0.122728,24.715382,5.358832,260.160126
159,0,-0.001148,-0.008526,0.121870,24.565554,5.486030,271.763580
160,0,0.001661,-0.011845,0.119956,24.464985,5.534358,284.758423
161,0,0.005319,-0.015139,0.119388,24.258139,5.520226,298.798798
162,0,0.008599,-0.017937,0.118649,24.013031,5.414673,313.904114
163,0,0.011425,-0.021011,0.117280,23.726946,5.183185,330.130493
164,0,0.014054,-0.024131,0.116190,23.497107,4.945990,347.046295
165,0,0.015283,-0.022337,0.116599,23.151558,4.597335,365.006775
166,0,0.016521,-0.019143,0.113745,22.894026,4.283089,383.715668
167,0,0.016510,-0.014000,0.112284,22.466652,3.756657,402.965607
168,0,0.015062,-0.007658,0.111036,22.045238,3.117206,422.669159
169,0,0.015192,-0.000056,0.111008,21.657894,2.424898,442.835297
170,0,0.014624,0.004437,0.109661,21.178118,1.597741,463.427155
171,0,0.012839,0.002162,0.109879,20.599623,0.716231,484.289459
172,0,0.010420,-0.005871,0.109242,20.003099,-0.112585,505.573517
173,0,0.006951,-0.014133,0.109601,19.387337,-1.110702,526.853394
174,0,0.004551,-0.022153,0.107435,18.749971,-2.181790,548.351318
175,0,0.004064,-0.023944,0.107499,18.167933,-3.264950,569.759277
176,0,0.004788,-0.022243,0.105709,17.597464,-4.439466,591.279175
177,0,0.005073,-0.021029,0.101079,16.926323,-5.448330,612.959900
178,0,0.004971,-0.009058,0.102791,16.452065,-6.716160,634.269165
179,0,0.002268,0.003070,0.105674,15.833587,-8.111298,655.593079
180,0,0.000764,0.009754,0.103450,15.255796,-9.281610,676.946411
181,0,-0.000997,0.019218,0.108537,14.591929,-10.187115,697.922607
182,0,-0.002871,0.020937,0.108449,13.954027,-11.402832,719.086121
183,0,-0.004143,0.019178,0.106954,13.689061,-12.771409,739.670471
184,0,-0.006529,0.012490,0.106213,13.318550,-13.987318,760.258606
185,0,-0.010902,0.003963,0.107644,12.659460,-15.088096,780.725220
186,0,-0.013742,-0.003556,0.104955,12.388829,-16.244503,800.609924
187,0,-0.017053,-0.007092,0.105401,12.133103,-17.362303,820.068909
188,0,-0.020638,-0.006655,0.105879,11.895082,-18.568802,838.783203
189,0,-0.020653,-0.003048,0.103598,11.881618,-19.721161,857.258728
190,0,-0.019636,0.005440,0.103123,11.881350,-20.723879,875.201233
191,0,-0.018477,0.013690,0.101615,12.018815,-21.801298,892.562988
192,0,-0.015297,0.023788,0.101530,12.015258,-22.834366,909.344238
193,0,-0.014432,0.025649,0.097261,12.429021,-23.863314,925.307556
194,0,-0.014655,0.027758,0.098070,12.488296,-24.735537,941.416687
195,0,-0.015399,0.024250,0.096441,12.759403,-25.508572,956.917297
196,0,-0.004574,0.025010,0.114395,12.236116,-28.351938,973.135620
197,0,-0.005351,0.014066,0.110122,12.658373,-29.051668,987.242920
198,0,-0.006638,0.004667,0.109252,13.139976,-29.750904,1001.336243
199,0,-0.008338,-0.004309,0.109558,13.607075,-30.167465,1014.079102
200,0,-0.007724,-0.011232,0.108628,14.076654,-30.992174,1027.244507
201,0,-0.008255,-0.013052,0.108422,14.630648,-31.491327,1039.172241
202,0,-0.006571,-0.011429,0.106321,15.316401,-31.939003,1050.650513
203,0,-0.004127,-0.006216,0.106098,16.008196,-32.420441,1061.752197
204,0,-0.004091,-0.002494,0.103174,16.681089,-32.764656,1072.093994
205,0,-0.003725,0.002995,0.102657,17.292953,-33.029636,1082.074585
206,0,-0.004050,0.009852,0.102249,17.923477,-33.196575,1091.469360
207,0,-0.004169,0.014970,0.101370,18.522375,-33.360596,1100.401489
208,0,-0.002901,0.014997,0.101324,19.159075,-33.391750,1108.886353
209,0,-0.002541,0.007971,0.100112,19.711342,-33.313126,1116.878662
210,0,-0.002645,-0.000850,0.099970,20.188156,-33.284546,1124.295166
211,0,-0.002361,-0.011440,0.101206,20.666374,-33.191788,1131.306641
212,0,-0.001736,-0.024771,0.100251,21.133167,-32.970814,1137.522583
213,0,-0.001977,-0.035030,0.100208,21.551165,-32.796825,1143.414429
214,0,0.000869,-0.039800,0.103260,21.978958,-32.508743,1148.838013
215,0,0.005002,-0.045166,0.101898,22.318361,-32.236588,1153.527954
216,0,0.007260,-0.042653,0.102354,22.607347,-31.912636,1157.635376
217,0,0.010700,-0.035891,0.103738,22.885937,-31.546824,1161.415039
218,0,0.013505,-0.031439,0.102766,23.069464,-31.288565,1164.878662
219,0,0.014144,-0.023580,0.102339,23.136337,-30.807428,1167.460083
220,0,0.013944,-0.016454,0.103116,23.126526,-30.347549,1169.968262
221,0,0.012253,-0.011197,0.104378,22.981148,-29.984886,1172.273315
222,0,0.013388,-0.013085,0.104617,22.648809,-29.359268,1174.288452
223,0,0.007200,-0.021491,0.104726,22.293152,-29.002127,1175.855347
224,0,0.004210,-0.035408,0.105036,21.684052,-28.534100,1177.297852
225,0,0.002762,-0.048912,0.105366,20.959743,-27.979868,1178.453613
226,0,0.003940,-0.057737,0.104972,20.132917,-27.634665,1179.210693
227,0,0.006685,-0.059347,0.106435,19.292805,-27.075003,1179.639160
228,0,0.008883,-0.057026,0.107392,18.323568,-26.515291,1179.856079
229,0,0.010365,-0.056406,0.106096,17.151741,-26.063559,1179.598267
230,0,0.011137,-0.053266,0.108084,15.773708,-25.550274,1179.377808
231,0,0.013493,-0.052790,0.108671,14.227574,-25.045479,1178.876343
232,0,0.015120,-0.052574,0.108598,12.488068,-24.506342,1177.882690
233,0,0.014844,-0.052870,0.109807,10.561723,-24.035183,1176.855957
234,0,0.017474,-0.053216,0.111635,8.414675,-23.581072,1175.814331
235,0,0.017545,-0.056212,0.112616,6.025525,-23.114246,1174.141113
236,0,0.020733,-0.060404,0.112474,3.460673,-22.811823,1172.678223
237,0,0.021955,-0.059825,0.114708,0.790618,-22.361393,1170.744751
238,0,0.025593,-0.057269,0.114754,-2.038860,-22.062183,1168.871094
239,0,0.028051,-0.050794,0.115694,-4.986109,-21.808228,1166.636597
240,0,0.030120,-0.040366,0.116557,-8.014472,-21.670580,1164.467407
241,0,0.030432,-0.029036,0.116444,-11.157885,-21.466873,1162.093628
242,0,0.029527,-0.015812,0.117053,-14.373084,-21.411860,1159.938477
243,0,0.026693,-0.003828,0.116266,-17.665247,-21.399715,1157.327148
244,0,0.024592,0.005674,0.114339,-20.828518,-21.560837,1154.922241
245,0,0.023552,0.016214,0.114227,-24.115013,-21.563091,1152.357788
246,0,0.022561,0.025365,0.114198,-27.305218,-21.689268,1149.704712
247,0,0.023422,0.033281,0.113805,-30.410196,-21.861969,1147.155640
248,0,0.023736,0.038406,0.112812,-33.350105,-21.987211,1144.491211
249,0,0.021914,0.046448,0.114526,-36.102844,-22.120071,1141.838623
250,0,0.019863,0.053413,0.113897,-38.663910,-22.348083,1139.313477
251,0,0.018727,0.061524,0.115852,-40.944996,-22.727661,1136.964966
252,0,0.018548,0.067424,0.114686,-43.010872,-22.978199,1134.421509
253,0,0.018378,0.075303,0.116506,-44.825695,-23.194536,1131.847046
254,0,0.018071,0.078643,0.114948,-46.364456,-23.352476,1129.144043
255,0,0.017365,0.080605,0.115894,-47.675175,-23.563698,1126.593506
256,0,0.016456,0.081308,0.116569,-48.652592,-23.771061,1124.067871
257,0,0.012561,0.080768,0.115186,-49.273796,-23.956202,1121.260498
258,0,0.010150,0.083205,0.115792,-49.585487,-24.065676,1118.474854
259,0,0.009453,0.085634,0.115872,-49.552288,-24.088982,1115.651489
260,0,0.006497,0.085828,0.115351,-49.229813,-24.124023,1112.828735
261,0,0.003536,0.081319,0.115988,-48.680965,-24.066084,1110.265381
262,0,0.001280,0.077599,0.117010,-47.980885,-23.678305,1107.399414
263,0,0.009817,0.074717,0.119406,-47.174271,-22.932922,1104.627075
264,0,0.006957,0.062705,0.118676,-45.698982,-22.773933,1101.955811
265,0,0.015127,0.052937,0.118112,-44.248302,-22.555510,1099.882812
266,0,0.036857,0.049995,0.118964,-42.873703,-21.347507,1096.959351
267,0,0.038843,0.042332,0.119548,-40.957851,-20.942963,1094.544922
268,0,0.027150,0.035250,0.120571,-38.715450,-20.733128,1091.982666
269,0,0.033616,0.028599,0.120674,-36.726585,-19.777040,1090.130249
270,0,0.026040,0.024558,0.123246,-34.522446,-19.042744,1087.871460
271,0,0.028248,0.018871,0.121972,-32.233044,-18.252577,1085.922852
272,0,0.032756,0.015088,0.125163,-30.084330,-17.135607,1084.037842
273,0,0.030510,0.005534,0.124667,-27.787184,-16.422020,1082.072876
274,0,0.031917,-0.002364,0.127825,-25.771620,-15.239330,1080.545532
275,0,0.028345,-0.014167,0.127655,-23.738531,-14.155143,1078.432007
276,0,0.026296,-0.018260,0.130451,-21.877996,-12.850115,1076.898071
277,0,0.026612,-0.024468,0.129077,-20.090725,-11.461158,1075.026733
278,0,0.025134,-0.025084,0.130483,-18.385157,-10.011106,1073.382446
279,0,0.023329,-0.031006,0.128498,-16.991350,-8.532085,1071.627319
280,0,0.019157,-0.035822,0.130083,-15.826395,-6.940385,1070.063477
281,0,0.019750,-0.045168,0.129501,-14.935743,-5.176788,1068.415283
282,0,0.022079,-0.051277,0.129278,-14.341242,-3.308161,1066.833618
283,0,0.022896,-0.054696,0.128289,-13.890841,-1.458437,1065.119385
284,0,0.029121,-0.056246,0.127320,-13.718199,0.616666,1063.485229
285,0,0.036775,-0.050803,0.128613,-13.927079,2.472848,1062.197144
286,0,0.036044,-0.053872,0.127569,-14.220591,4.448483,1060.824097
287,0,0.037303,-0.051303,0.127265,-14.777961,6.458177,1059.162964
288,0,0.044568,-0.045886,0.128492,-15.746996,8.293288,1057.681519
289,0,0.051121,-0.039876,0.129292,-16.865129,10.109303,1056.241455
290,0,0.059767,-0.034819,0.130426,-18.249102,11.970449,1054.855347
291,0,0.061865,-0.030820,0.131730,-19.763977,13.347692,1053.489502
292,0,0.064080,-0.028104,0.133241,-21.502792,14.847713,1052.250732
293,0,0.064712,-0.023615,0.135899,-23.387554,15.986159,1051.157471
294,0,0.067550,-0.019726,0.136300,-25.306721,17.153620,1050.013428
295,0,0.066860,-0.023638,0.126114,-27.466631,17.479113,1049.315430
296,0,0.063408,-0.014849,0.127808,-29.520077,18.448975,1047.923340
297,0,0.058206,-0.005847,0.130570,-31.734262,19.204510,1046.597168
298,0,0.055804,-0.000283,0.129494,-33.981312,19.423721,1045.911499
299,0,0.054930,0.005948,0.131049,-36.217411,19.698597,1044.826904
300,0,0.060632,0.009673,0.130651,-38.425964,19.946442,1043.540649
301,0,0.051373,0.010322,0.129999,-40.573467,20.605968,1040.438843
302,0,0.050400,0.013921,0.130869,-42.658367,20.540215,1039.126953
303,0,0.049470,0.017821,0.130716,-44.562138,19.912203,1038.339844
304,0,0.047326,0.023252,0.132489,-46.427250,19.346014,1037.272339
305,0,0.046385,0.028186,0.129655,-47.903194,18.708132,1036.346558
306,0,0.042535,0.030908,0.124167,-49.040154,18.086088,1034.886353
307,0,0.038751,0.034708,0.117348,-49.864807,17.534876,1033.518188
308,0,0.033769,0.036290,0.112620,-50.766346,16.541733,1032.499756
309,0,0.021671,0.035999,0.110054,-51.430695,15.200368,1031.336182
310,0,0.010492,0.035927,0.109988,-52.107220,13.669559,1030.383545
311,0,0.007191,0.038405,0.108187,-52.444252,12.160865,1029.459961
312,0,0.001304,0.041551,0.108877,-52.652267,10.589787,1028.734863
313,0,0.018656,0.053709,0.148224,-55.563843,6.112642,1030.555786
314,0,0.009288,0.052226,0.145094,-55.187408,4.469526,1029.753052
315,0,0.001250,0.052025,0.147023,-54.797104,2.702258,1029.090820
316,0,-0.005073,0.051874,0.145450,-54.083378,1.042196,1028.289062
317,0,-0.007394,0.052018,0.142325,-53.092773,-0.571988,1027.640503
318,0,-0.009092,0.052908,0.142218,-52.025810,-2.613030,1027.022705
319,0,-0.008231,0.048805,0.139814,-50.710220,-4.088490,1026.651001
320,0,-0.010906,0.043992,0.142431,-49.428074,-5.905796,1026.535889
321,0,-0.016176,0.037539,0.142551,-47.825661,-7.340823,1026.187622
322,0,-0.019407,0.032775,0.143568,-46.178387,-8.592378,1025.863403
323,0,-0.020777,0.028643,0.140779,-44.219875,-9.682194,1025.306519
324,0,-0.019248,0.028078,0.141083,-42.237881,-10.763558,1024.912964
325,0,-0.020746,0.026720,0.140288,-40.011574,-11.673776,1024.235352
326,0,-0.021507,0.025169,0.140104,-37.763462,-12.526469,1023.420593
